commentId,docketId,pdf_text
EPA-R03-RCRA-2008-0256-0005,EPA-R03-RCRA-2008-0256,"1
A project of Earth Island
May 5, 2008
Thomas UyBarreta
Mailcode 3WC21 
RCRA State Programs Branch
U.S. EPA Region III
1650 Arch Street, 
Philadelphia, PA 19103-2029
RE: Docket Number EPA-R03-RCRA-2008-0256
Dear Mr. UyBarreta:
Please accept my comments opposing EPA’s authorization of revisions to Virginia’s hazardous 
waste regulations, specifically those rules that were promulgated and adopted under non-HSWA 
authority.  This includes, but is not limited to, the RCRA Burden Reduction Initiative (Revision 
Checklist 213).  Under federal statute, none of the states are allowed to adopt “requirements less 
stringent” than those that had been adopted “upon the effective date of regulations under this 
subchapter.”1  Creating the language found at 42 USC 6929, Congress assured that the standards 
set under the Resource Conservation and Recovery Act of 1976, as amended by HSWA, would 
be the “minimum standard” adopted by the states, and that subsequent regulations at the state 
level would not fall below this standard.  It would seem logical that if Congress did not intend 
for states to adopt standards less stringent than these original rules -- and has in fact barred states 
from doing so -- that Congress did not intend, and therefore has also barred, EPA from 
promulgating them.  
Many of the rules adopted by Virginia are less stringent than those they replace; a fact that does 
not appear to be supported by federal statute.  
It is clear from the 1984 Hazardous and Solid Waste Amendments to 42 USC 6929 that Congress 
was concerned that EPA might undermine the RCRA and HSWA through regulation,
specifically with regard to manifest notification2. The RCRA Burden Reduction Initiative – all 
of which is promulgated pursuant to non-HSWA authority – removes the (manifest) requirement 
(40 CFR 268.7(b)(6)) that notification be sent to the state with each shipment of waste-derived 
 
 
1 42 USC 6929 “Upon the effective date of regulations under this subchapter no State or political 
subdivision may impose any requirements less stringent than those authorized under this 
subchapter respecting the same matter as governed by such regulations… Nothing in this 
chapter shall be construed to prohibit any State or political subdivision thereof from imposing 
any requirements, including those for site selection, which are more stringent than those 
imposed by such regulations.”
2 1984—Pub. L. 98–616 inserted “Nothing in this chapter (or in any regulation adopted under this 
chapter) shall be construed to prohibit any State from requiring that the State be provided with 
a copy of each manifest used in connection with hazardous waste which is generated within 
that State or transported to a treatment, storage, or disposal facility within that state.
 

2
A project of Earth Island
product shipped into and within a state.  Not only can the rule be “construed (as) to prohibit a 
State from requiring that the State be provided with a copy of each manifest”, it does prohibit a 
State from requiring a manifest when adopted – an act clearly prohibited.
Virginia is seeking authorization for nine RCRA clusters which include several non-HSWA 
rules.  Some of the Revision Checklists erroneously suggest that the Attorney General may not 
need to conduct a detailed review of the proposed rules against state statute for authority prior to 
final authorization.  However, under the requirements of 40 CFR 271.7 the Attorney General
“shall” submit a statement and that statement “shall” include the following: 
“…citations to the specific statutes, administrative regulations and, where appropriate, 
judicial decisions which demonstrate adequate authority.”
I am concerned that there may not have been an in-depth Attorney General review as required, 
and as a result Virginia may have adopted rules which are not statutorily supported on the state 
or federal level.  
Thank you for considering my concerns.   
Sincerely,
Patricia Anne Martin
Safe Food and Fertilizer
617 H St. SW
Quincy, WA  98848
(509) 787-4275"
EPA-R09-OAR-2008-0406-0026,EPA-R09-OAR-2008-0406,"1994-034a 
DANIEL L. CARDOZO  
THO
 A. ENSLOW 
TANYA A. GULESSERIAN 
MA
D. JOSEPH  
LOU
A A. MILES 
GL
IA D. SMITH  
 
FELLOW 
RACHAEL E. KOSS 
 
OF COUNSEL 
THOMAS R. ADAMS 
ANN BROADWELL 
MAS
 
RC
LEN
OR
SACRAMENTO OFFICE 
 
520 CAPITOL MALL, SUITE 350 
SACRAMENTO, CA  95814-4715 
T E L :   ( 9 1 6 )  4 4 4 - 6 2 0 1  
F A X :   ( 9 1 6 )  4 4 4 - 6 2 0 9  
ADAMS BROADWELL JOSEPH & CARDOZO 
 
A PROFESSIONAL CORPORATION 
 
A T T O R N E Y S  A T  L A W  
 
6 0 1  G A T E W A Y  B O U L E V A R D ,  S U I T E  1 0 0 0  
S O U T H  S A N  F R A N C I S C O ,  C A   9 4 0 8 0 - 7 0 3 7  
___________ 
T E L :  ( 6 5 0
6 6 0  
F A X :  ( 6 5 0
0 6 2  
g s m i t h @ a d a m s
r o a d w e l l . c o m  
 
)  5 8 9 - 1
)  5 8 9 - 5
b
 printed on recycled paper 
   
 
 
 
 
 
July 7, 2008 
 
 
Via Email: Lee.Anita@epamail.epa.gov 
 
Anita Lee 
Environmental Protection Agency, 
Air Permits Office 
75 Hawthorne Street (AIR-3) 
San Francisco, CA 94105 
 
 
 
Re:  Comments on the Victorville 2 Draft PSD Permit 
 
Dear Ms. Lee: 
 
On behalf of California Unions for Reliable Energy (“CURE”), this letter 
provides comments on the EPA’s draft prevention of significant deterioration 
(“PSD”) air permit for the City of Victorville’s proposed power plant (“Project”).  The 
Project is a 563 MW electric generating facility located in the City of Victorville in 
San Bernardino County.  The EPA’s Region 9, the PSD permitting authority, issued 
a statement of basis and ambient Air Quality Impact Report (“SOB”) and a Draft 
Clean Air Act PSD Permit (“Draft Permit”).1  
 
CURE is a coalition of labor unions whose members help solve the state’s 
energy problems by building, maintaining and operating conventional and 
renewable energy power plants.  Since its founding in 1997, CURE has been 
committed to building a strong economy and a healthier environment.  (See 
http://www.sbctc.org/cure/.)  Individual members of the CURE unions live in and 
use areas that will suffer the impacts of the Project.  These members breathe the 
polluted air and suffer the adverse health and safety impacts from unnecessary air 
                                            
1 U.S. Environmental Protection Agency, Region IX, Victorville II Hybrid Power Project (SE07-02), 
Prevention of Significant Deterioration Permit, Proposed Permit Conditions, June 2008 (“proposed 
PSD Permit”); Docket No. EPA-R09-OAR-2008-0406-0017; and Statement of Basis and Ambient Air 
Quality Impact Report for a Clean Air Act Prevention of Significant Deterioration Permit, June 2008 
(“Statement of Basis”); Docket No. EPA-R09-OAR-2008-0406-0016. 

 
July 7, 2008 
Page 2 
 
 
1994-034a 
pollution.  Given the proximity to this and other projects, CURE has helped cut 
smog-forming pollutants in half, reduced toxic emissions, increased the use of 
recycled water for cooling systems and pushed for groundbreaking pollution control 
equipment as the standard for all new power plants, all while ensuring new power 
plants are built with highly trained, professional workers who live and raise 
families in nearby communities. 
 
As discussed below, the proposed PSD Permit is inadequate because the 
proposed PSD Permit and the supporting Statement of Basis prevent full and fair 
public review;  EPA prematurely issued the application completeness determination 
rendering the determination deficient;  the EPA failed to determine that the Project 
may result in violations of the 24-hour PM2.5 National Ambient Air Quality 
Standard (“NAAQS”);  the best available control technology (“BACT”) 
determinations were incomplete and flawed, including the lack of a BACT 
determination for greenhouse gases and the failure to require BACT for particulate 
matter and carbon monoxide (“CO”) emissions from the combustion turbine 
generators (“CTGs”);  EPA failed to set a limit for the ammonia slip from the 
selective catalytic reduction (“SCR”) system;  the proposed permit limits are not 
federally enforceable; and the project does not comply with the Endangered Species 
Act or the National Environmental Policy Act among other things described below.  
 
We have prepared these comments with the assistance of Dr. Petra Pless.  
Dr. Pless’ comments along with her curriculum vitae are provided herein as 
Attachment 1.  Please note that the expert’s comments supplement the issues 
addressed below, thus her comments should be addressed and responded to 
separately.  
I. 
THE PROPOSED PSD PERMIT AND STATEMENT OF BASIS DETER 
 
FULL AND ACCURATE PUBLIC REVIEW 
For all practical purposes, the proposed PSD Permit and the supporting 
Statement of Basis were presented in a way that makes it nearly impossible for an 
independent reviewer to trace and evaluate the EPA’s decision making process.  
 
The Statement of Basis did not present all of the information necessary for 
members of the public to verify whether the EPA’s determinations were correct. 
Instead, the reviewer was forced to consult a multitude of documents beyond the 
Applicant’s application for a PSD Permit (“PSD Application”), its supplements and 
the EPA’s administrative record for this project.  For example, rather than provide 

 
July 7, 2008 
Page 3 
 
 
1994-034a 
                                           
a complete BACT analysis for each pollutant and source subject to PSD review to 
support the BACT-based permit limits in the body of the document, the Statement 
of Basis provided only brief summaries that were based on a number of additional 
documents.  The PM10 (as a surrogate for PM2.5) BACT analysis for the Project’s 
CTGs is a prime example.  The Statement of Basis provided the following terse 
summary:  
 
Particulate emissions from the gas turbine trains result from fuel sulfur, 
inert trace contaminants, and incomplete combustion of hydrocarbons. We do 
not believe that any add-on particulate emission controls have been 
demonstrated in practice for this type of source. Thus, the proposed permit 
limits the sulfur content of the fuel to no more than 0.2 grains per 100 dry 
standard cubic feet as BACT, which would limit sulfate particulate emissions. 
 
We are proposing to limit particulate emissions (PM and PM10) to 12 lb/hr 
from each turbine without duct burner firing, and 18 lb/hr with duct burner 
firing. As noted earlier, using PM10 as a surrogate for PM2.5 does not affect 
the emission controls selected as BACT.2 
 
The EPA’s conclusion regarding PM and PM2.5 BACT appear to be based on 
the BACT analyses contained in two supplemental submissions to the PSD 
Application for PM2.5 and PM, but the Statement of Basis did not mention these 
documents.  These supplements to the PSD Application can be found in the docket 
on the EPA’s website.3  Our review of these documents shows that they, in turn, do 
not contain all of the information relied upon to come to conclusions regarding 
BACT either.  The necessary information, specifically, the PM and PM10 permit 
limits from the South Coast Air Quality Management District’s BACT Guidelines 
and the EPA’s RACT/BACT/LAER Clearinghouse for other, similar facilities relied 
upon to determine the BACT permit limits for Victorville II are not provided in the 
supplements to the PSD Application, or for that matter anywhere in documents 
 
2 Statement of Basis, pp. 14-15. 
3 Sara Head, ENSR, Letter to Ed Pike, U.S. Environmental Protection Agency, San Francisco, CA, 
Subject: Supplement to Application for Prevention of Significant Deterioration Permit for Victorville 
2 Hybrid Power Project (VV2), June 25, 2007; Docket No. EPA-R09-OAR-2008-0406-0009; Thomas 
Barnett, Inland Energy, Inc., Letter to Anita Lee, U.S. Environmental Protection Agency, San 
Francisco, CA, Subject: Supplement to Application for Prevention of Significant Deterioration (PSD) 
Permit for Victorville 2 Hybrid Power Project, January 28, 2008; Docket No. EPA-R09-OAR-2008-
0406-0010. 

 
July 7, 2008 
Page 4 
 
 
1994-034a 
                                           
listed on the EPA’s website.  The respective BACT determinations contain no 
reference where to find the information they relied upon to reach their conclusions 
regarding the proposed BACT permit limits.  The docket shows that a number of 
California Energy Commission documents have been submitted into the 
administrative record, such as the Application for Certification (“AFC”,4 the 
Preliminary5 and Final Staff Assessments,6 and some mysterious “Distribution of 
Supplemental Information,” which are not available directly on the EPA’s website 
but rather are available on the CEC’s website.7  This sends the reviewer on a wild 
goose chase searching through these several hundred-page documents and their 
respective, equally long appendices, updates, and revisions to find the most up-to-
date list of permit limits for these pollutants.  At a bare minimum, EPA should have 
referenced and provided cites to the relevant data.  
 
The EPA’s failure to “show its work” runs counter to its obligation to conduct 
an independent review of the Applicant’s BACT determinations, giving instead the 
impression that EPA simply-rubber-stamped the application.  In addition, the 
review process the EPA used here effectively frustrated public review and analysis.  
The analytic path showing the basis for the EPA’s decisions must be clear and well-
documented in a stand-alone document referencing a few clearly identified 
documents without requiring the reviewer to wade through literally stacks of 
documents on the EPA’s and the California Energy Commission’s websites.  
 
Finally, CURE’s experts attempted to evaluate the Project’s modeling data 
purported to be part of EPA’s administrative record.  However, the modeling data 
